newsId,isFake,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,sentiment
1,0,1009,0.036,1,0,3,23,0.01388,0.00793,0.01883,17.70,0.500,63666,-0.61702
2,0,1083,0.035,0,0,1,21,0.01293,0.00000,0.02955,28.50,0.478,79,-0.86842
3,1,64,0.026,0,0,2,1,0.00000,0.00000,0.04688,16.00,0.859,20950,-1.00000
4,0,571,0.028,0,0,0,6,0.01226,0.01401,0.01926,16.79,0.597,0,-0.55172
5,0,736,0.025,0,0,1,1,0.00136,0.00000,0.04212,29.44,0.548,13600,-0.72000
6,0,1384,0.033,0,0,2,1,0.00650,0.00145,0.02818,15.04,0.457,8450,-0.72222
7,0,751,0.026,0,0,1,1,0.00666,0.00533,0.01065,25.90,0.543,9200,-0.72414
8,0,785,0.025,0,0,1,1,0.02548,0.00000,0.08025,18.69,0.545,4680,-0.82927
9,1,491,0.037,0,0,0,1,0.02444,0.00000,0.01222,15.84,0.601,0,-0.75000
10,1,432,0.045,0,0,1,1,0.00463,0.00000,0.01157,30.86,0.597,52300000,-0.50000
11,1,320,0.038,0,0,1,1,0.00625,0.00000,0.02500,18.82,0.666,52300000,-1.07143
12,1,714,0.025,1,0,1,1,0.00000,0.00000,0.02381,21.00,0.531,53600000,-0.81818
13,1,710,0.011,1,0,1,1,0.01127,0.00000,0.01690,22.19,0.542,53600000,-0.56250
14,0,347,0.017,1,0,1,1,0.00576,0.00000,0.02594,24.79,0.585,99300,-0.71429
15,0,685,0.024,0,0,1,1,0.00146,0.00876,0.03942,19.57,0.604,17500,-0.72727
16,0,1008,0.025,0,0,1,1,0.01190,0.00397,0.05357,21.45,0.538,20000,-0.42500
17,0,247,0.030,0,0,0,4,0.00000,0.00000,0.02024,20.58,0.652,0,-0.83333
18,0,799,0.042,0,0,2,1,0.00501,0.00000,0.02503,15.08,0.513,4010,-0.57143
19,0,405,0.036,0,0,1,1,0.02469,0.00494,0.04198,19.29,0.630,8830,-0.71429
20,0,430,0.034,0,0,0,1,0.01860,0.00930,0.04186,17.20,0.563,0,-0.59091
21,0,806,0.034,0,0,1,1,0.00124,0.00248,0.01241,15.21,0.515,5870,-0.80556
22,0,685,0.032,0,0,1,1,0.00584,0.00000,0.02336,17.56,0.543,8880,-0.63333
23,0,414,0.024,0,0,1,1,0.01208,0.00000,0.01932,20.70,0.621,5050,-1.00000
24,1,458,0.033,0,0,0,1,0.00437,0.00873,0.02402,16.96,0.620,0,-0.50000
25,0,543,0.026,0,2,1,1,0.01657,0.00000,0.00552,18.72,0.538,27800000,-0.72727
26,0,123,0.031,0,0,0,1,0.00000,0.00000,0.04065,20.50,0.780,0,-1.00000
27,0,238,0.033,0,0,1,7,0.02521,0.02521,0.05042,19.83,0.664,62,-0.72727
28,0,377,0.027,0,0,1,6,0.02122,0.00000,0.01857,22.18,0.637,12100,-0.70588
29,0,380,0.039,0,0,2,4,0.01053,0.00000,0.04737,22.35,0.597,3700,-0.85714
30,0,365,0.029,0,0,2,9,0.01370,0.00000,0.01370,26.07,0.616,945,-1.18182
31,0,1598,0.023,0,0,4,8,0.02879,0.00375,0.03254,17.18,0.464,3550,-0.59770
32,0,1202,0.029,3,0,2,1,0.00499,0.00666,0.05241,14.66,0.563,6600,-0.72464
33,0,1005,0.026,0,0,1,1,0.00597,0.03980,0.02488,20.51,0.553,14900,-0.51163
34,0,1371,0.022,0,0,1,1,0.00219,0.00000,0.01605,22.85,0.422,4450,-0.93878
35,0,798,0.030,0,0,2,1,0.00000,0.00000,0.02256,10.78,0.470,32,-0.89655
36,1,438,0.014,0,0,0,1,0.00000,0.08219,0.00457,17.52,0.502,0,0.25000
37,0,1246,0.018,0,0,1,1,0.00000,0.00000,0.01846,23.07,0.482,13800,-0.76923
38,0,652,0.024,5,0,0,1,0.00000,0.00000,0.03067,18.63,0.552,0,-0.68571
39,0,2145,0.014,8,0,1,1,0.00932,0.00186,0.02191,16.63,0.275,12800,-0.41071
40,1,295,0.022,0,0,0,1,0.03051,0.00000,0.01017,26.82,0.647,0,-1.00000
41,1,149,0.028,0,0,0,1,0.02013,0.00000,0.04027,37.25,0.758,0,0.00000
42,1,215,0.028,0,0,0,1,0.04651,0.00000,0.02791,17.92,0.651,0,-0.41667
43,1,174,0.022,0,0,0,1,0.00000,0.00000,0.05172,17.40,0.649,0,-0.71429
44,1,277,0.025,0,0,0,1,0.01083,0.02166,0.01444,16.29,0.682,0,-1.09091
45,1,187,0.019,0,0,0,1,0.00535,0.00000,0.04813,18.70,0.701,0,-0.87500
46,1,287,0.019,2,0,0,1,0.04878,0.01394,0.02439,13.67,0.686,0,-0.36842
47,1,249,0.023,0,0,0,1,0.01205,0.04418,0.01606,22.64,0.687,0,-0.45455
48,1,182,0.021,0,0,0,1,0.02747,0.00000,0.01648,16.55,0.731,0,-0.45455
49,1,164,0.015,0,0,0,1,0.01220,0.00000,0.00610,18.22,0.677,0,-0.25000
50,1,265,0.026,0,0,0,1,0.00000,0.16981,0.02642,18.93,0.642,0,-0.53846
51,1,175,0.034,0,0,0,1,0.04000,0.00000,0.01143,15.91,0.697,0,-0.88889
