Row,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,titleUppercase,errorLevel,sentiment,informativeness,superlativesPerWords,superlativesPerAdjectives,usedsources,internsources,externsources,usedimages
words,1,-0.0638112045887057,-0.0554468462321788,-0.0454750448509414,0.2112730982549,-0.103821153669442,0.224913573051369,0.0385946124326057,-0.0894337241874112,-0.0138476157713847,0.179447014084368,-0.0273281515306903,0.0802767227029964,-0.0812064499249401,-0.00268930920630836,-0.0134885878366181,-0.109494447643406,-0.0952744195985508,-0.0601410051442561,-0.0232384325957148,0.0851188925926268,0.13493424379559
p1,1,0.528215326723421,0.583747384258817,0.653240035196665,0.0348541298469553,0.303978230206718,0.0244637967322254,0.703028199085227,0.37622776640893,0.89123495929979,0.07402801562177,0.787240191723388,0.427220477810587,0.421869229859309,0.978814646770337,0.894038316696344,0.278168546423723,0.34572541431456,0.552253139738344,0.818485248309606,0.399778472370912,0.180730827764894
uppercases,-0.0638112045887057,1,-0.17721136390511,-0.0228512192184158,0.0877268931644795,0.291647626908164,-0.109810395075904,-0.0507054649090717,0.0849556868622402,0.0236653247737574,-0.0332014400323689,-0.142117277276758,0.0388389202128164,0.0664541194639447,0.00736357817578458,-0.0205337898812726,-0.0736824175878821,-0.0993353791081234,-0.0713169223143809,0.0801570702023753,0.135963348650996,0.148666070719459
p2,0.528215326723421,1,0.0777619232432944,0.821459116784126,0.385441183923877,0.00323899189858302,0.27677572851806,0.616369586758184,0.400686057603712,0.815209618696248,0.742964146826298,0.158399358837451,0.701237135999745,0.511236871315021,0.942036116360946,0.839308821625711,0.466275980090309,0.325460054359718,0.48074709235256,0.427911980507179,0.177397305008548,0.139893907998593
questions,-0.0554468462321788,-0.17721136390511,1,0.0239890139884914,-0.175760030449152,-0.176358296122651,0.01833832743161,-0.0665535366228938,-0.473406146833587,0.0570846265729025,-0.328845589915581,0.0705854085538547,-0.0437949453061656,0.0571148549343395,-0.0391126330566812,-0.0124102015228875,0.0456420114444752,0.242936584864322,0.142942606779599,0.0332066045808533,-0.544063131610139,-0.164178729197069
p3,0.583747384258817,0.0777619232432944,1,0.812728001096273,0.080265692934415,0.0792258922138137,0.856294653749335,0.510603724187225,6.54885455798953e-07,0.572665910342491,0.000836193613902752,0.485270454358491,0.6652683123061,0.572462308145488,0.699232439576813,0.902466261601994,0.652049445837934,0.0148742658921625,0.155971472552506,0.742925556194167,4.90569713526307e-09,0.102628504889985
exclamations,-0.0454750448509414,-0.0228512192184158,0.0239890139884914,1,-0.071380606643626,-0.0112666439467916,-0.0154080193227851,-0.0370435419573439,0.0311110753618874,-0.0240036890905265,-0.0328376236927106,-0.0536199903323683,0.0176129215125331,-0.157872157416591,-0.0723739110191861,-0.0687786531500593,0.085763535629785,0.0555523331030612,0.0236526543077216,-0.0562782337785425,-0.111118616456299,0.0908696160654145
p4,0.653240035196665,0.821459116784126,0.812728001096273,1,0.480354369231392,0.911415359594579,0.879067020389316,0.714436892946168,0.758635043489422,0.812615535633962,0.74568425701296,0.596222907701812,0.861921803554239,0.116711350265901,0.474251285931428,0.496539179136818,0.396205537300454,0.583030689599526,0.815306796251338,0.578109797504992,0.271058451932228,0.368581479057899
authors,0.2112730982549,0.0877268931644795,-0.175760030449152,-0.071380606643626,1,0.00403543804757076,0.375215204127632,0.21514608120369,0.173056125592769,0.0377160207420125,0.0195982710273394,-0.0889099430910056,0.100319586605329,-0.158929427137484,0.00713253887374567,0.00950975261283403,-0.0968511956992359,-0.175869825772531,-0.120922556581598,0.192014941830887,0.254959264292993,0.257511919518867
p5,0.0348541298469553,0.385441183923877,0.080265692934415,0.480354369231392,1,0.968214960024605,0.000119815525568339,0.0315826779507302,0.0851020289612517,0.709482670081499,0.846538200923743,0.379040780581613,0.320665513415757,0.114251471458939,0.943851781809244,0.925185396106754,0.337764697692546,0.0800740524015706,0.23075123874503,0.0556383381292877,0.010467403404419,0.00969504904579939
