Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
Kennzahl,Mittelwert,Median,Varianz,Standardabweichung,Minimum,Maximum,Spannweite,IQR,Anzahl Beobachtungen
newsId,100.5,100.5,3333.25,57.7343052266155,1,200,199,100,200
isFake,0.5,0.5,0.25,0.5,0,1,1,1,200
words,540.37,416.5,163477.3331,404.323302692289,38,2345,2307,488,200
uppercases,0.034075,0.0305,0.000969638975,0.0311390265583239,0.0094,0.3536,0.3442,0.01225,200
questions,0.0144055,0,0.00105797311975,0.0325264987318033,0,0.1429,0.1429,0,200
exclamations,0.006775,0,0.001352724875,0.0367794083013851,0,0.4,0.4,0,200
authors,0.8,1,0.560000000000002,0.74833147735479,0,4,4,1,200
citations,0.1176855,0.0667,0.02276728973975,0.150888335333617,0.0056,1.0769,1.0713,0.0927,200
firstperson,0.01372175,0.00885,0.0002376413724375,0.0154156210526044,0,0.09596,0.09596,0.0186,200
secondperson,0.0072883,0,0.000293795728109999,0.0171404704751649,0,0.16981,0.16981,0.00711,200
thirdperson,0.02772835,0.02471,0.0002552222547775,0.0159756769739971,0,0.10698,0.10698,0.021995,200
sentencelength,20.160625,19.293,31.721540314375,5.63218787988957,8.111,41.857,33.746,6.7155,200
repetitiveness,0.6011555,0.60075,0.00852391366975,0.09232504356755,0.2712,0.8947,0.6235,0.1252,200
authorHits,2184645.845,3195,100282675199081,10014123.7858877,0,53900000,53900000,18200,200
titleUppercase,0.163809,0.1265,0.035916840319,0.189517387906756,0,0.875,0.875,0.1062,200
errorLevel,0.0147355,0.01125,0.00020996138975,0.0144900445047626,0,0.0909,0.0909,0.01615,200
sentiment,-0.689502950000001,-0.71429,0.0584888842087975,0.241844752287077,-1.5,0.25,1.75,0.31039,200
informativeness,0.1984675,0.184745,0.00752307831975,0.0867356807764256,0,0.57143,0.57143,0.100425,200
superlativesPerWords,0.0017045,0.000755,5.36720875e-06,0.00231672371032888,0,0.01394,0.01394,0.002785,200
superlativesPerAdjectives,0.02280735,0.01001,0.000965767262477502,0.0310767962067762,0,0.2,0.2,0.03571,200
