Row,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,titleUppercase,errorLevel,sentiment,informativeness,superlativesPerWords,superlativesPerAdjectives,usedsources,internsources,externsources,usedimages
words,1,-0.117695012090939,0.0158675412567266,0.00352427612975622,0.475195887116245,-0.211764370916601,-0.139559991470039,-0.0978963883490764,0.055214850836046,0.0483897851632475,-0.790076280063972,-0.0633617601822324,-0.158092527387751,0.0583795970879282,0.0197723113282682,0.18859533127399,0.0521305161036699,0.0571524365510253,0.491811644859498,0.576502733141263,0.346270758752077,0.13525661685559
p1,1,0.0969547628338595,0.823528964412231,0.960498093720078,1.16112462723339e-12,0.00261038283394228,0.0487282836136457,0.167863615661375,0.437421891446966,0.496223230443303,5.92194748157076e-44,0.372741413330113,0.0253628191309211,0.411567764341706,0.781091280224072,0.00748483467633344,0.463488618649159,0.421484402172841,1.40874122080058e-13,4.14942196415738e-19,5.09853569300754e-07,0.0561831492214134
uppercases,-0.117695012090939,1,0.161694475673573,0.377401223571584,-0.0791552298181412,0.0442018453698967,0.110896836408424,0.0812762681818908,0.214502956788884,0.0334519572877814,0.166107863550654,-0.0119539173236005,0.0266504087358549,0.0243839630010635,-0.0515741520856575,-0.11185741594652,-0.0848386926366078,-0.0774141001479929,-0.0482600837783831,-0.0490351984385711,-0.0261770915589154,0.0620009849989956
p2,0.0969547628338595,1,0.0221698414039305,3.61110461795844e-08,0.265212047032529,0.534274546414594,0.117978845133812,0.252578322927415,0.00228766513967739,0.638177513230155,0.018735605740052,0.866583055657988,0.707959566630036,0.731800989205471,0.468280398234223,0.1148092868876,0.232308017132782,0.275900657739049,0.497379769509156,0.490489352607767,0.712916024260324,0.383115744306162
questions,0.0158675412567266,0.161694475673573,1,-0.0657120273567939,-0.0860790774046304,-0.0872592302404939,0.16418650299978,-0.0586080506982575,0.133469170357355,-0.160801067590933,-0.0749750505436021,0.0447302717892186,0.126402489425821,0.0378791135672894,0.0705373719008082,-0.0168722785170241,0.0587955702447317,0.019558971563994,-0.0047941790236037,-0.0309509273327746,0.0441612708299786,-0.0265763488554993
p3,0.823528964412231,0.0221698414039305,1,0.35523483736493,0.225526745727895,0.219206114641205,0.0201693845411256,0.409736928410642,0.0595451581636649,0.0229275936462578,0.291358035477966,0.52939395680143,0.074495662709019,0.59436243542687,0.320937448027735,0.812554920582149,0.408237737413205,0.783394486879813,0.946282897935001,0.663509532685374,0.534650225908538,0.708734299449991
exclamations,0.00352427612975622,0.377401223571584,-0.0657120273567939,1,-0.094302294718325,-0.0436376471964673,0.0592763024277936,0.260381333556792,-0.137086344325376,-0.0649360109291789,0.0496900295455395,0.0418590082972036,-0.0105100747843176,-0.10877472894708,-0.0271142501986286,0.04535599706186,-0.0148581596208226,-0.0304702238083059,-0.0245201705508037,-0.092486033150889,-0.00691667636276294,0.00154601324802346
p4,0.960498093720078,3.61110461795844e-08,0.35523483736493,1,0.184099344382873,0.539510291267713,0.404409196770015,0.00019632037383232,0.0529056521676115,0.360957384605974,0.484708131457625,0.556181118397897,0.882573745745533,0.125222231587546,0.703114217398529,0.523643949455735,0.834588323979819,0.668423600856742,0.730360630939428,0.192730058082801,0.922563900853124,0.982665807688865
authors,0.475195887116245,-0.0791552298181412,-0.0860790774046304,-0.094302294718325,1,0.111412837923405,-0.127609284399479,-0.160651717912988,0.0330837831076759,-0.014936469659207,-0.423201789254273,0.0592264015834348,-0.258438357530605,0.100116602169429,-0.0328046671597437,0.0672230622585563,-0.0518839354965849,-0.0276116720860378,0.284929353984095,0.451911835345665,0.176239384386822,0.182709334244333
p5,1.16112462723339e-12,0.265212047032529,0.225526745727895,0.184099344382873,1,0.116267866012753,0.0717462228869267,0.0230564199789918,0.641881307800922,0.833729122246887,4.28367295009898e-10,0.404805611627263,0.000219946367964599,0.158381975843307,0.644695096105635,0.344256160551653,0.465608983571022,0.697931352956104,4.32599074166444e-05,1.85435867449041e-11,0.0125478745928582,0.00961045204832846
citations,-0.211764370916601,0.0442018453698967,-0.0872592302404939,-0.0436376471964673,0.111412837923405,1,0.0260473411818118,-0.0257962021274982,-0.0267524974715124,0.227060974235791,0.229813993547664,-0.0830479385545803,-0.177210749730402,-0.0303954652391209,-0.125682602140174,-0.250589121201815,-0.125218080153715,-0.121169870049973,-0.0982330554585149,0.0434602650116744,-0.0842640267525587,0.0263020249089688
p6,0.00261038283394228,0.534274546414594,0.219206114641205,0.539510291267713,0.116267866012753,1,0.714276851381123,0.716913367833141,0.706892118539575,0.00122353135960489,0.00106180613691485,0.242349519474252,0.0120618312532836,0.669189107432173,0.0761760589479373,0.000345009154857259,0.0772765633359796,0.0874207498760031,0.16639924829488,0.541161646233569,0.23549795841496,0.711606574660914
firstperson,-0.139559991470039,0.110896836408424,0.16418650299978,0.0592763024277936,-0.127609284399479,0.0260473411818118,1,0.0230138724537967,0.278185907275138,-0.239773086210475,0.0730488511162619,-0.00991312555446375,0.0198568110887961,-0.0869234825703124,0.15026290041924,-0.152049651214337,0.0514696134467673,0.0232937296697891,-0.0151778586515876,-0.152783332454226,-0.0022061846946359,0.0505768569263358
p7,0.0487282836136457,0.117978845133812,0.0201693845411256,0.404409196770015,0.0717462228869267,0.714276851381123,1,0.74634074462845,6.64926010706962e-05,0.000626969387894809,0.303966059650657,0.889199298624319,0.780179549960088,0.220991314965424,0.0336875661005703,0.0316073523119193,0.469183783338564,0.743363341525534,0.831081895412611,0.0307853914968095,0.975265842181659,0.476937497249795
secondperson,-0.0978963883490764,0.0812762681818908,-0.0586080506982575,0.260381333556792,-0.160651717912988,-0.0257962021274982,0.0230138724537967,1,-0.0347082635337763,-0.159944477143357,0.121098829817064,-0.0111413407993035,-0.0133664957837472,-0.106542825790989,0.257797112614356,-0.0395012715613897,0.153825799871564,0.156602520930764,-0.0699854103319035,-0.115603462133789,-0.0503776021852068,-0.0462833837287418
p8,0.167863615661375,0.252578322927415,0.409736928410642,0.00019632037383232,0.0230564199789918,0.716913367833141,0.74634074462845,1,0.625606963219853,0.0236749793438882,0.087607854007958,0.875576178470406,0.850990841460061,0.13320665365118,0.000228307847483246,0.578656911543123,0.0296488593179119,0.0267948368054082,0.324748142707145,0.103079891122504,0.478677506431739,0.515180736369222
thirdperson,0.055214850836046,0.214502956788884,0.133469170357355,-0.137086344325376,0.0330837831076759,-0.0267524974715124,0.278185907275138,-0.0347082635337763,1,-0.208931551675801,0.0492069100415573,-0.0124545163483489,0.0466212769262319,0.118084357077934,0.126498563301301,-0.0611954690013719,-0.0514202741656738,0.0129347506704031,0.0611883914629186,0.108650440521354,-0.0463071500484423,0.0848872778772847
p9,0.437421891446966,0.00228766513967739,0.0595451581636649,0.0529056521676115,0.641881307800922,0.706892118539575,6.64926010706962e-05,0.625606963219853,1,0.00298716400148149,0.488969835336635,0.861051161871517,0.512114782178724,0.0958471165741079,0.0742736932124178,0.389338751235879,0.469610487605749,0.855750656037056,0.389393697771882,0.125656898640185,0.514964778162037,0.232039724975847
sentencelength,0.0483897851632475,0.0334519572877814,-0.160801067590933,-0.0649360109291789,-0.014936469659207,0.227060974235791,-0.239773086210475,-0.159944477143357,-0.208931551675801,1,-0.0508658917155125,-0.0901823506101444,-0.152184417123041,0.00761130591495319,-0.41071273335262,-0.112480560574256,-0.0538949706224524,-0.0799464391735599,0.0455741103554182,0.125757005642863,0.015033869264687,-0.11884263975815
p10,0.496223230443303,0.638177513230155,0.0229275936462578,0.360957384605974,0.833729122246887,0.00122353135960489,0.000626969387894809,0.0236749793438882,0.00298716400148149,1,0.474419596176856,0.204096639843649,0.0314549855016642,0.914815179171485,1.5353345692508e-09,0.112788957356719,0.448472751573057,0.26044970028563,0.521647129228476,0.0760009732899691,0.832660748683516,0.0937187503577209
repetitiveness,-0.790076280063972,0.166107863550654,-0.0749750505436021,0.0496900295455395,-0.423201789254273,0.229813993547664,0.0730488511162619,0.121098829817064,0.0492069100415573,-0.0508658917155125,1,0.0498039571056636,0.111994557862539,-0.0523548997552581,-0.0362729796415949,-0.145950492149236,-0.100996149374582,-0.111359858630715,-0.323509956348453,-0.465992560234684,-0.260239489612761,-0.105431040231822
p11,5.92194748157076e-44,0.018735605740052,0.291358035477966,0.484708131457625,4.28367295009898e-10,0.00106180613691485,0.303966059650657,0.087607854007958,0.488969835336635,0.474419596176856,1,0.483706069720608,0.114362244452212,0.461563775922561,0.61010057988968,0.0391915939244989,0.154739154526691,0.116442640598785,2.97244927230278e-06,3.55960292006217e-12,0.000197961662726558,0.137327146774433
authorHits,-0.0633617601822324,-0.0119539173236005,0.0447302717892186,0.0418590082972036,0.0592264015834348,-0.0830479385545803,-0.00991312555446375,-0.0111413407993035,-0.0124545163483489,-0.0901823506101444,0.0498039571056636,1,0.160206314658992,-0.015249763824027,-0.00199839525921203,0.0316010832942685,-0.0843767738464437,-0.0811805776874514,-0.0390732126092661,-0.115657016334196,-0.00202552329128593,-0.027870342886826
p12,0.372741413330113,0.866583055657988,0.52939395680143,0.556181118397897,0.404805611627263,0.242349519474252,0.889199298624319,0.875576178470406,0.861051161871517,0.204096639843649,0.483706069720608,1,0.0234443279471341,0.830293703194019,0.977594788691876,0.656886029921553,0.234869691658989,0.253139168929287,0.582782487015086,0.102919335430139,0.977290720977946,0.69524164195102
titleUppercase,-0.158092527387751,0.0266504087358549,0.126402489425821,-0.0105100747843176,-0.258438357530605,-0.177210749730402,0.0198568110887961,-0.0133664957837472,0.0466212769262319,-0.152184417123041,0.111994557862539,0.160206314658992,1,0.0764634769653244,0.0416240635824512,0.157108732799787,-0.0439657352814537,-0.0322909356126819,-0.107041139353974,-0.276141321886403,-0.023675849146439,-0.0674748053027172
